364.720,364.730,364.753,364.793,364.833,364.867,364.890,364.907,364.920,364.930,364.933,364.930,364.923,364.917,364.910,364.900,364.890,364.883,364.877,364.867,364.853,364.840,364.840,364.847,364.860,364.863,364.867,364.873,364.893,364.923,364.953,364.980,365.000,365.020,365.037,365.050,365.060,365.070,365.073,365.067,365.043,365.013,364.983,364.960,364.943,364.930,364.923,364.927,364.947,364.977,365.007,365.023,365.027,365.017,365.000,364.987,364.977,364.977,364.980,364.990,364.997,364.997,364.993,364.993,365.000,365.010,365.017,365.017,365.003,364.980,364.943,364.903,364.857,364.817,364.777,364.753
341.870,341.880,341.907,341.950,341.993,342.030,342.057,342.077,342.090,342.100,342.103,342.100,342.093,342.087,342.080,342.067,342.057,342.050,342.043,342.030,342.013,342.000,342.000,342.007,342.020,342.027,342.030,342.040,342.060,342.093,342.123,342.150,342.173,342.197,342.217,342.230,342.243,342.253,342.257,342.247,342.223,342.190,342.157,342.133,342.117,342.103,342.093,342.097,342.117,342.150,342.183,342.203,342.203,342.190,342.173,342.163,342.157,342.157,342.160,342.170,342.173,342.173,342.170,342.173,342.180,342.187,342.193,342.190,342.180,342.153,342.117,342.070,342.020,341.973,341.930,341.903
321.917,321.927,321.953,322.000,322.047,322.087,322.117,322.137,322.153,322.163,322.170,322.167,322.160,322.150,322.140,322.130,322.120,322.113,322.103,322.087,322.067,322.053,322.057,322.067,322.080,322.083,322.087,322.097,322.123,322.160,322.193,322.223,322.247,322.273,322.293,322.310,322.323,322.333,322.337,322.327,322.300,322.263,322.227,322.200,322.180,322.163,322.153,322.160,322.183,322.220,322.253,322.277,322.280,322.267,322.247,322.233,322.227,322.227,322.230,322.240,322.243,322.243,322.240,322.243,322.250,322.260,322.267,322.267,322.253,322.223,322.180,322.130,322.080,322.030,321.983,321.953
304.487,304.497,304.527,304.580,304.633,304.677,304.707,304.730,304.747,304.760,304.763,304.760,304.750,304.740,304.730,304.720,304.710,304.703,304.690,304.673,304.653,304.640,304.643,304.650,304.667,304.670,304.677,304.687,304.713,304.753,304.790,304.823,304.850,304.877,304.897,304.913,304.930,304.947,304.950,304.940,304.910,304.870,304.830,304.800,304.780,304.760,304.750,304.753,304.780,304.820,304.860,304.883,304.883,304.870,304.850,304.837,304.827,304.827,304.830,304.840,304.847,304.847,304.843,304.847,304.857,304.867,304.870,304.867,304.853,304.823,304.777,304.723,304.667,304.613,304.560,304.527
289.267,289.277,289.307,289.363,289.423,289.473,289.507,289.530,289.547,289.560,289.563,289.560,289.553,289.543,289.533,289.517,289.507,289.497,289.487,289.467,289.447,289.433,289.437,289.447,289.460,289.467,289.470,289.483,289.510,289.553,289.593,289.630,289.660,289.690,289.713,289.733,289.750,289.767,289.770,289.757,289.723,289.680,289.637,289.603,289.580,289.563,289.553,289.560,289.587,289.630,289.670,289.697,289.697,289.683,289.660,289.647,289.637,289.637,289.643,289.657,289.663,289.660,289.653,289.657,289.667,289.680,289.687,289.683,289.667,289.633,289.583,289.523,289.460,289.400,289.343,289.307
275.967,275.980,276.017,276.080,276.143,276.197,276.233,276.260,276.280,276.297,276.303,276.300,276.290,276.277,276.263,276.247,276.233,276.223,276.213,276.197,276.173,276.157,276.160,276.170,276.187,276.190,276.197,276.210,276.243,276.290,276.333,276.370,276.403,276.437,276.463,276.483,276.500,276.517,276.520,276.507,276.473,276.427,276.380,276.343,276.320,276.300,276.287,276.290,276.320,276.370,276.417,276.443,276.443,276.427,276.403,276.387,276.377,276.377,276.383,276.397,276.403,276.400,276.393,276.397,276.407,276.420,276.427,276.427,276.410,276.373,276.317,276.253,276.187,276.123,276.060,276.020
264.357,264.370,264.410,264.480,264.550,264.607,264.647,264.677,264.700,264.717,264.723,264.720,264.710,264.697,264.683,264.667,264.653,264.643,264.630,264.607,264.577,264.557,264.560,264.573,264.593,264.600,264.607,264.620,264.657,264.707,264.757,264.797,264.833,264.870,264.900,264.923,264.940,264.960,264.963,264.950,264.910,264.860,264.810,264.770,264.743,264.720,264.707,264.710,264.743,264.797,264.850,264.880,264.880,264.860,264.833,264.817,264.803,264.803,264.810,264.827,264.833,264.830,264.823,264.827,264.840,264.857,264.867,264.863,264.843,264.800,264.740,264.670,264.597,264.523,264.453,264.410
253.717,253.733,253.777,253.850,253.927,253.990,254.037,254.067,254.090,254.107,254.113,254.110,254.100,254.087,254.073,254.053,254.037,254.023,254.010,253.987,253.957,253.937,253.940,253.953,253.973,253.980,253.987,254.003,254.043,254.100,254.153,254.200,254.240,254.280,254.310,254.337,254.357,254.377,254.380,254.363,254.323,254.267,254.210,254.167,254.137,254.113,254.097,254.103,254.140,254.197,254.250,254.283,254.287,254.267,254.237,254.217,254.203,254.203,254.210,254.230,254.240,254.237,254.230,254.233,254.247,254.260,254.270,254.267,254.247,254.200,254.137,254.060,253.977,253.897,253.823,253.780
243.437,243.453,243.500,243.580,243.663,243.733,243.783,243.817,243.843,243.860,243.867,243.860,243.850,243.837,243.823,243.803,243.787,243.773,243.757,243.730,243.697,243.677,243.680,243.697,243.720,243.727,243.730,243.747,243.790,243.853,243.910,243.960,244.003,244.047,244.083,244.110,244.133,244.153,244.160,244.143,244.097,244.037,243.973,243.927,243.890,243.863,243.850,243.857,243.897,243.957,244.020,244.057,244.060,244.037,244.003,243.980,243.963,243.963,243.973,243.993,244.003,244.000,243.993,244.000,244.013,244.030,244.037,244.033,244.010,243.963,243.893,243.810,243.717,243.630,243.550,243.503
233.413,233.430,233.480,233.570,233.663,233.740,233.793,233.830,233.857,233.877,233.883,233.880,233.870,233.853,233.837,233.813,233.797,233.783,233.767,233.737,233.700,233.677,233.683,233.700,233.723,233.730,233.737,233.757,233.803,233.870,233.933,233.990,234.037,234.083,234.120,234.153,234.180,234.203,234.207,234.187,234.137,234.070,234.003,233.950,233.913,233.880,233.863,233.870,233.917,233.987,234.053,234.093,234.093,234.070,234.033,234.010,233.993,233.993,234.003,234.027,234.037,234.033,234.023,234.030,234.043,234.063,234.073,234.070,234.043,233.990,233.913,233.823,233.723,233.630,233.540,233.487
